tag_code_or_release_id,tag_type,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,record_origin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
"182398","12","1","1","2012","20140423","20140425","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR","14.7","110","N","5000","56178",,,"5000","538",,,"B","0.0095","210","952",,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","56178","0","538","0","0"
"!03NOCN9383",,"1","1","1993","199410","19941003","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","F","H","B",,"11.9","105","N",,,,,"0000","6136",,,"W",,,,,,"R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","6136","0"
"!03NOCN09107",,"1","1","2009","20110413","20110414","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","Y","H","P","FR","31.62","135","N",,,,,"0000","23284",,,"B",,,,,,"R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","23284","0"
"!03NOCN9534",,"1","1","1995","199605","199605","2FS  TOMMR0253","2FS  TOMMH1925","2FS  TOMMS0253","F","H","B","FR","2",,"N",,,,,"0000","80",,,"B",,,,,,"R-Nicola R","H-Merritt Schools","S-Nicola R","N","0","0","0","80","0"
"!03NOCN1253",,"1","1","2012","20130502","20130502","2FS  TOMMR0160","2FS  TOMMH0160","2FS  TOMMS0160","F","H","P","FR","1.63","53","N",,,,,"0000","28818",,,"B",,,,,,"R-Spius Cr","H-Spius Creek H","S-Spius Cr","N","0","0","0","28818","0"
"!03NOCN0976",,"1","1","2009","20100526","20100526","2FS  TOMMR0160","2FS  TOMMH0160","2FS  TOMMS0160","F","H","B",,"3.22","65","N",,,,,"0000","15208",,,"W",,,,,,"R-Spius Cr","H-Spius Creek H","S-Spius Cr","N","0","0","0","15208","0"
"183277","12","1","1","2013","20150421","20150422","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","MX","16.7","113","N","5000","54517",,,"5000","1056","0000","562","W","0.019","204",,,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","54517","0","1056","562","0"
"!03NOCN8224",,"1","1","1982","19830515","19830515","2FS  TOMMR0253","2FS  TOMMH0253","2FS  TOMMS0253","E","H","B","VO","0.5",,"N",,,,,"0000","18000",,,,,,,,,"R-Nicola R","H-Nicola River Inc","S-Nicola R","N","0","0","0","18000","0"
"!03NOCN8715",,"1","1","1987","19880408","19880428","2FS  TOMMR0160","2FS  TOMMH0160","2FS  TOMMS0160","S","H","P",,"5.2",,"N",,,,,"0000","113440",,,,,,,,,"R-Spius Cr","H-Spius Creek H","S-Spius Cr","N","0","0","0","113440","0"
"!03NOCN1588",,"1","1","2015","20170418","20170420","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","Y","H","P","FR","16.05",,"N",,,,,"0000","46423",,,"B",,,,,,"R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","46423","0"
"180302","0","1","1","1990","19920427","19920428","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","Y","H","B",,"24.4","129","N","5000","24920",,,"0000","2831","5000","125","W","0.005","33","1000",,"TIME OF RELEASE: YEARLING","R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","24920","0","125","2831","0"
"181690","12","1","1","2013","20150422","20150422","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","MX","17.75","116","N","5000","5693",,,"0000","92","5000","69","W","0.012","209",,,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","5693","0","69","92","0"
