"","tag_code_or_release_id","tag_type","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"100","!03NOCN8616",NA,1,1,1986,1987-07-01,1987-07-28,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",3.9,NA,"N",NA,NA,NA,NA,0,44900,NA,NA,"",NA,NA,NA,NA,"SURPLUS FISH","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,44900,0
"102","182863",0,1,1,1996,1998-04-28,1998-04-30,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",18.8,118,"N",5000,49649,NA,NA,0,21920,5000,1013,"W",0.02,1,500,NA,"YEARLING RELEASE. FED HIGH RATION. SEE 182862-LO RATION","R-Nicola R","H-Spius Creek H","S-Nicola R","N",49649,0,1013,21920,0
"103","181916",0,1,1,2003,2005-04-29,2005-05-02,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",16,112,"N",5000,22733,NA,NA,0,20241,5000,68,"W",0.003,30,300,NA,"SEE ALSO 181915, 181917 & 184050-51.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",22733,0,68,20241,0
"104","!03NOCN9934",NA,1,1,1999,2000-04-27,2000-04-27,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",3.77,69,"N",NA,NA,NA,NA,0,56077,NA,NA,"W",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,56077,0
"106","181642",0,1,1,1993,1995-05-08,1995-05-11,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",20.7,223,"N",5000,23048,NA,NA,0,48501,5000,304,"W",0.013,1,500,NA,"YEARLING RELEASE","R-Nicola R","H-Spius Creek H","S-Nicola R","N",23048,0,304,48501,0
"107","181643",0,1,1,1993,1995-05-08,1995-05-11,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",21.4,223,"N",5000,22520,NA,NA,0,47636,NA,NA,"W",NA,1,500,NA,"YEARLING RELEASE","R-Nicola R","H-Spius Creek H","S-Nicola R","N",22520,0,0,47636,0
"108","181953",0,1,1,1994,1996-05-06,1996-05-08,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17.3,117,"N",5000,49541,NA,NA,0,15803,5000,500,"W",0.01,1,500,NA,"YEARLING RELEASE","R-Nicola R","H-Spius Creek H","S-Nicola R","N",49541,0,500,15803,0
"109","025739",0,1,1,1988,1989-04-01,1989-04-17,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",5.5,78,"N",5000,26051,NA,NA,0,45492,5000,182,"",0.0069,1,NA,NA,"CONTROL FOR IMPRINT GROUP","R-Nicola R","H-Spius Creek H","S-Nicola R","N",26051,0,182,45492,0
"110","025740",0,1,1,1988,1989-04-01,1989-04-17,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",5.5,78,"N",5000,25354,NA,NA,0,44275,5000,101,"",0.004,1,NA,NA,"CONTROL FOR IMPRINT GROUP","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25354,0,101,44275,0
"111","181380",12,1,1,2009,2011-04-27,2011-04-28,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",17.92,120,"N",5000,51365,NA,NA,0,1854,5000,1317,"B",0.025,30,321,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",51365,0,1317,1854,0
