"","tag_code_or_release_id","tag_type","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"282","024601",0,1,1,1986,1987-09-08,1987-09-15,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",9.6,NA,"N",5000,25400,NA,NA,0,8949,5000,520,"",0.0201,1,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",25400,0,520,8949,0
"286","023310",0,1,1,1985,1986-04-08,1986-04-16,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","B","",5.4,NA,"N",5000,74530,NA,NA,5000,3920,NA,NA,"",0.05,1,NA,NA,"IMPRINT","R-Nicola R","H-Spius Creek H","S-Nicola R","N",74530,0,3920,0,0
"287","023311",0,1,1,1985,1986-04-08,1986-04-16,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",7,NA,"N",5000,71610,NA,NA,0,124000,5000,5390,"",0.07,1,NA,NA,"CONTROL FOR IMPRINT GROUP","R-Nicola R","H-Spius Creek H","S-Nicola R","N",71610,0,5390,124000,0
"288","185237",12,1,1,2005,2007-04-25,2007-04-25,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",16.69,112,"N",5000,27776,NA,NA,5000,92,NA,NA,"",0.0033,30,301,NA,"SAME RELEASE SITES AS 185236","R-Nicola R","H-Spius Creek H","S-Nicola R","N",27776,0,92,0,0
"289","185516",12,1,1,2002,2004-03-24,2004-04-22,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",12.9,104,"N",5000,42198,NA,NA,0,45032,5000,865,"W",0.0201,30,600,NA,"SEE ALSO 185517. VARIETY OF RELEASE SITES.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",42198,0,865,45032,0
"290","185517",12,1,1,2002,2004-03-24,2004-04-21,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",12.9,105,"N",5000,46685,NA,NA,0,48113,5000,93,"W",0.002,30,600,NA,"SEE ALSO 185516. VARIETY OF RELEASE SITES.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",46685,0,93,48113,0
"291","023535",0,1,1,1985,1987-04-16,1987-04-21,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","B","",15.2,NA,"N",5000,19380,NA,NA,0,5622,5000,1450,"",0.0696,210,NA,NA,"TIME OF RELEASE: YEARLING; COMBINE WITH 024057","R-Nicola R","H-Spius Creek H","S-Nicola R","N",19380,0,1450,5622,0
"293","180353",0,1,1,1991,1992-06-22,1992-06-23,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",6.8,85,"W",5000,75075,NA,NA,0,26673,5000,302,"B",0.004,1,300,NA,"TIME OF REL: LATE.GROUP SUFFERED STRESS + MORTS WHEN REL'D IN HI TEMP WATER","R-Nicola R","H-Spius Creek H","S-Nicola R","N",75075,0,302,26673,0
"296","184050",0,1,1,2003,2005-04-29,2005-05-02,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",16,112,"N",5000,11042,NA,NA,0,9901,5000,112,"W",0.01,30,300,NA,"SEE ALSO 181915-17 & 184051.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",11042,0,112,9901,0
"297","!03NOCN9683",NA,1,1,1996,1997-06-18,1997-06-19,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",1.7,55,"N",NA,NA,NA,NA,0,158126,NA,NA,"W",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,158126,0
"300","184580",12,1,1,2016,2018-05-01,2018-05-03,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",17.5,113,"N",5000,55539,NA,NA,5000,1178,NA,NA,"B",0.0208,180,3130,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",55539,0,1178,0,0
"302","!03NOCN1570",NA,1,1,2015,2016-06-14,2016-06-14,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","P","FR",1.1,NA,"N",NA,NA,NA,NA,0,6626,NA,NA,"B",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,6626,0
"305","!03NOCN1467",NA,1,1,2014,2015-06-27,2015-06-27,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","MX",1.6,NA,"N",NA,NA,NA,NA,0,28303,NA,NA,"B",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,28303,0
"306","184183",12,1,1,2015,2017-05-01,2017-05-03,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",16.21,NA,"N",5000,51923,NA,NA,5000,5393,NA,NA,"B",0.0941,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",51923,0,5393,0,0
"310","!03NOCN1655",NA,1,1,2016,2017-06-20,2017-06-20,"2FS  TOMMR6276","2FS  TOMMH0160","2FS  TOMMS0253","F","H","P","FR",1.88,55,"N",NA,NA,NA,NA,0,10587,NA,NA,"B",NA,NA,NA,NA,"","R-Spahomin Cr","H-Spius Creek H","S-Nicola R","N",0,0,0,10587,0
"312","183871",12,1,1,2014,2016-04-19,2016-04-21,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",14.96,NA,"N",5000,13028,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",13028,0,0,0,0
"313","185235",12,1,1,2005,2007-04-24,2007-04-24,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",15.82,112,"N",5000,21830,NA,NA,5000,66,NA,NA,"",0.003,30,301,NA,"RELEASE SITES SAME AS 185234","R-Nicola R","H-Spius Creek H","S-Nicola R","N",21830,0,66,0,0
"315","!03NOCN1393",NA,1,1,2013,2014-05-20,2014-05-20,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","P","FR",1.64,50,"N",NA,NA,NA,NA,0,17504,NA,NA,"B",NA,NA,NA,NA,"Released  because of the BKD value of the female adults.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,17504,0
