"","jan_mean_flow","feb_mean_flow","mar_mean_flow","apr_mean_flow","may_mean_flow","jun_mean_flow","jul_mean_flow","aug_mean_flow","sep_mean_flow","oct_mean_flow","nov_mean_flow","dec_mean_flow","jan_mean_flow_rear","feb_mean_flow_rear","mar_mean_flow_rear","apr_mean_flow_rear","may_mean_flow_rear","jun_mean_flow_rear","jul_mean_flow_rear","aug_mean_flow_rear","sep_mean_flow_rear","oct_mean_flow_rear","nov_mean_flow_rear","dec_mean_flow_rear"
"feb_mean_flow_rear",-0.0649273753544755,0.191457201677451,0.143171940838198,0.261216180409083,-0.147692828401358,-0.168701223519055,-0.252134779273465,-0.147017165720377,0.0290593265484211,-0.127965486437331,0.459906195702837,0.658068171395306,0.679449544400611,1,0.57602379156306,0.499587557659314,0.0277534942706956,-0.0398409316870982,0.0652952417696527,0.0475337984157852,0.0526862294440312,0.207203284183233,-0.138190337677257,0.221715881088197
"mar_mean_flow_rear",0.151315592211617,0.093891383704646,-0.0101470117353217,0.0954043814927489,-0.0438443203140506,-0.136292601103293,-0.28478697826326,-0.253793405355002,-0.250781922219443,-0.130797826139084,0.639678688068698,0.20912391751406,0.221941543681937,0.57602379156306,1,0.656371041276811,0.0494043839685313,-0.0746278281270538,-0.0204223186140807,-0.0409727364589561,0.0256001505897043,0.278169754404138,-0.143077085416182,0.523094477347263
"apr_mean_flow_rear",0.0288407270973903,0.188154973543052,-0.163588687266476,0.052900141059983,0.0219578874879285,0.0778809844402645,0.0320381594124759,0.0562463728803335,-0.306115321039172,0.00788151748191191,0.596604936215648,0.163509956526335,0.245460482119471,0.499587557659314,0.656371041276811,1,0.306670705482018,0.168212864950526,0.245395289841071,0.183617783289091,0.397418086835912,0.258031698556535,-0.0673898814851549,0.205881023755451
"may_mean_flow_rear",0.278566700597047,0.302761743731797,0.362724986384476,0.519151418150097,0.151832342580659,0.156005931124217,0.172034284416386,0.113421285173076,0.100419611224754,-0.12248079241202,-0.129915585953673,-0.187290185162164,-0.0743670207467853,0.0277534942706956,0.0494043839685313,0.306670705482018,1,0.640036703270167,0.559368143660168,0.554290506111055,0.478217047530583,0.133956084269042,0.0236547199043236,-0.15529195427771
"jun_mean_flow_rear",0.0660632233074313,0.00476980074676154,-0.0301365847211493,-0.0917081324170207,-0.0809284045653201,0.0101224285499508,-0.000886977574918147,0.00312823808133441,-0.0282779080734596,-0.372170705933206,-0.0087129516111125,-0.117809972566974,0.187059946301416,-0.0398409316870982,-0.0746278281270538,0.168212864950526,0.640036703270167,1,0.856281650166127,0.846789315865582,0.579766426534955,0.0432925647721154,0.110702719750259,-0.229091202627592
"jul_mean_flow_rear",0.0367834745289941,-0.0151013121594437,-0.0437443069345214,-0.0154243753413965,0.124219416576259,0.125725231547331,0.124005036437956,0.108602357929631,0.0486668008181456,-0.349375569287379,-0.0419724986280341,-0.0776482077521074,0.0905032740298397,0.0652952417696527,-0.0204223186140807,0.245395289841071,0.559368143660168,0.856281650166127,1,0.957603014630321,0.602377490449628,0.0703364732699517,0.227033831045691,-0.0969100653582183
"aug_mean_flow_rear",0.0220840079579959,0.02775998685782,0.048739010291258,0.081624580012277,0.0741048280301071,0.0868208087286484,0.129094977556077,0.122681329028391,0.0671750736349284,-0.300391783885188,-0.0149266067123737,-0.0555593794448602,0.0104574588797368,0.0475337984157852,-0.0409727364589561,0.183617783289091,0.554290506111055,0.846789315865582,0.957603014630321,1,0.68010825904672,0.0695621266731945,0.235321787370917,-0.0667790571448603
"sep_mean_flow_rear",-0.087756640398092,-0.0607890719970386,0.00176920342435253,0.0346171516442456,-0.239122422628508,0.00959742873111004,0.127679683878536,0.0739423564520492,-0.163420086501683,0.00827280846424293,0.120171687155831,-0.063576995535155,-0.097957448294595,0.0526862294440312,0.0256001505897043,0.397418086835912,0.478217047530583,0.579766426534955,0.602377490449628,0.68010825904672,1,0.083893501217488,0.0557771251102199,0.03669548587989
"oct_mean_flow_rear",0.525191171029133,-0.129549803648708,-0.0724139796993292,0.137237900192289,0.0388189150261535,0.397632933590997,0.107989830957559,0.00660841550071571,-0.145339039144609,-0.395610811283787,-0.0593243877078195,-0.224645598966866,-0.218855259733857,0.207203284183233,0.278169754404138,0.258031698556535,0.133956084269042,0.0432925647721154,0.0703364732699517,0.0695621266731945,0.083893501217488,1,-0.181641969722603,0.0132549856935946
"nov_mean_flow_rear",0.365601979898138,0.496645880876704,0.113968132915787,-0.176617709043865,-0.207063400789913,-0.358787246660438,-0.265439607405707,-0.309361341990441,-0.392726214859146,-0.061750261002629,-0.266388713537223,0.0157526871788126,-0.011129493900257,-0.138190337677257,-0.143077085416182,-0.0673898814851549,0.0236547199043236,0.110702719750259,0.227033831045691,0.235321787370917,0.0557771251102199,-0.181641969722603,1,0.149160159024577
