"","brood_year","wild_recruits","total_spawners","wild_spawners","hatchery_spawners","CV","recruits_per_spawner","jan_mean_flow","feb_mean_flow","mar_mean_flow","apr_mean_flow","may_mean_flow","jun_mean_flow","jul_mean_flow","aug_mean_flow","sep_mean_flow","oct_mean_flow","nov_mean_flow","dec_mean_flow","sep_oct_Q10_flow","jan_feb_max_flow","ice_days","sep_dec_max_flow","jan_mean_flow_rear","feb_mean_flow_rear","mar_mean_flow_rear","apr_mean_flow_rear","may_mean_flow_rear","jun_mean_flow_rear","jul_mean_flow_rear","aug_mean_flow_rear","sep_mean_flow_rear","oct_mean_flow_rear","nov_mean_flow_rear","dec_mean_flow_rear","sep_oct_Q10_flow_rear","jan_feb_max_flow_rear","ice_days_rear","sep_dec_max_flow_rear","smolt_age3_survival"
"14",2003,1282,14491,10632,3859,0.03,0.0884687047132703,6.33774186718848,7.60035714932851,10.8338709800474,28.4066666603088,56.2612905194682,48.4333334604899,9.42258064208492,3.4758064516129,3.05900001525879,24.8074194077523,8.55100005467733,6.19387100588891,2.75,8.89000034332275,61,180,5.49354837786767,6.68586209724689,13.485483923266,41.6000001907349,55.8096771240234,34.9733330726624,7.28032253634545,4.29709679080594,6.60733334223429,6.71387097143358,14.9386664867401,21.8703226581696,4.59000015258789,74.0999984741211,25,96.8000030517578,0.002186
"15",2004,4986,10152,9338,814,0.06,0.49113475177305,5.49354837786767,6.68586209724689,13.485483923266,41.6000001907349,55.8096771240234,34.9733330726624,7.28032253634545,4.29709679080594,6.60733334223429,6.71387097143358,14.9386664867401,21.8703226581696,4.59000015258789,74.0999984741211,25,96.8000030517578,21.1580644115325,21.1321427481515,19.2741935483871,31.5966669718425,48.1096774685767,22.6233333587647,13.0254838389735,4.01096770840306,3.90066668192546,8.86290325657014,9.75366667111714,13.4709678311502,3.05999994277954,24.7000007629395,47,50,0.019655
"16",2005,1115,3248,2705,543,0.07,0.343288177339901,21.1580644115325,21.1321427481515,19.2741935483871,31.5966669718425,48.1096774685767,22.6233333587647,13.0254838389735,4.01096770840306,3.90066668192546,8.86290325657014,9.75366667111714,13.4709678311502,3.05999994277954,24.7000007629395,47,50,13.901290370572,6.70392855576106,8.82838716814594,23.8693332672119,94.2419351147067,67.466667175293,11.3906452271246,4.44290322642173,3.97799998919169,4.47967745411781,33.0036667664846,8.2258064516129,3.09999990463257,16,72,156,0.004146
"17",2006,3518,5087,4442,645,0.06,0.691566738745823,13.901290370572,6.70392855576106,8.82838716814594,23.8693332672119,94.2419351147067,67.466667175293,11.3906452271246,4.44290322642173,3.97799998919169,4.47967745411781,33.0036667664846,8.2258064516129,3.09999990463257,16,72,156,9.64516127494073,11.6214285237448,48.4312900112521,53.5800000508626,84.4258068453881,67.1500002543131,24.6429032356508,6.86967742058539,4.86100002129873,12.4590323048253,11.2400000254313,19.9193547310368,4.23999977111816,9,93,116,0.038698
"18",2007,2367,1009,896,113,0.1,2.34588701684836,9.64516127494073,11.6214285237448,48.4312900112521,53.5800000508626,84.4258068453881,67.1500002543131,24.6429032356508,6.86967742058539,4.86100002129873,12.4590323048253,11.2400000254313,19.9193547310368,4.23999977111816,9,93,116,5.66451612595589,7.24379309292497,7.9751613063197,10.7753333886464,109.896774045883,71.610000483195,19.1751612386396,7.59967743965887,5.49433329900106,7.26064520497476,11.8719999631246,5.75000003076369,4.38000011444092,5.59999990463257,93,23.5,0.011356
"19",2008,6645,4411,3571,840,0.08,1.50646111992745,5.66451612595589,7.24379309292497,7.9751613063197,10.7753333886464,109.896774045883,71.610000483195,19.1751612386396,7.59967743965887,5.49433329900106,7.26064520497476,11.8719999631246,5.75000003076369,4.38000011444092,5.59999990463257,93,23.5,4.80935483594095,4.41892857210977,4.91322583536948,9.51566664377848,42.2741936099145,34.9900001207987,7.49709673850767,4.04774192840822,3.15166665712992,6.1564516252087,20.0979999860128,9.20322584336804,2.5699999332428,20.7999992370605,41,43,0.012564
"20",2009,4312,538,431,107,0.11,8.01486988847584,4.80935483594095,4.41892857210977,4.91322583536948,9.51566664377848,42.2741936099145,34.9900001207987,7.49709673850767,4.04774192840822,3.15166665712992,6.1564516252087,20.0979999860128,9.20322584336804,2.5699999332428,20.7999992370605,41,43,11.6709677480882,8.73500001430511,11.5841935373122,39.2099999745687,99.8580644669071,110.186666997274,29.6354838032876,8.89709681849325,9.11566664377848,8.98903229928786,11.5383332888285,7.98387098312378,5.94000005722046,16.3999996185303,92,20.8999996185303,0.018779
"21",2010,7082,5257,2853,2404,0.06,1.34715617272208,11.6709677480882,8.73500001430511,11.5841935373122,39.2099999745687,99.8580644669071,110.186666997274,29.6354838032876,8.89709681849325,9.11566664377848,8.98903229928786,11.5383332888285,7.98387098312378,5.94000005722046,16.3999996185303,92,20.8999996185303,9.66612901995259,8.60749999114445,8.90741942005772,13.910000038147,119.106451526765,150.773333231608,49.7387099112234,13.7422578719354,6.4853333791097,9.77354846462127,8.8900000333786,9.23612897626816,4.53000020980835,18.7999992370605,30,31,0.004866
"22",2011,4695,2731,2153,578,0.07,1.71915049432442,9.66612901995259,8.60749999114445,8.90741942005772,13.910000038147,119.106451526765,150.773333231608,49.7387099112234,13.7422578719354,6.4853333791097,9.77354846462127,8.8900000333786,9.23612897626816,4.53000020980835,18.7999992370605,30,31,10.1864515043074,8.19931035206236,7.63645165966403,46.8329999605815,115.890322531423,107.716666666667,50.1548383774296,10.596774132021,6.03466668128967,7.61193546172111,18.5370000203451,5.83193548264042,4.03000020980835,6.46999979019165,93,48.4000015258789,0.018387
"23",2012,1835,5702,5121,581,0.09,0.32181690634865,10.1864515043074,8.19931035206236,7.63645165966403,46.8329999605815,115.890322531423,107.716666666667,50.1548383774296,10.596774132021,6.03466668128967,7.61193546172111,18.5370000203451,5.83193548264042,4.03000020980835,6.46999979019165,93,48.4000015258789,5.0048386819901,5.77357142312186,13.3180645050541,49.2333335240682,136.558064368463,75.9166670481364,27.9709677850046,6.80419355823148,6.35133333206177,10.2851612644811,6.16966665585836,4.73709677111718,5.30000019073486,8.36999988555908,116,18.2000007629395,0.011627
"24",2013,1009,3445,1974,1471,0.07,0.29288824383164,5.0048386819901,5.77357142312186,13.3180645050541,49.2333335240682,136.558064368463,75.9166670481364,27.9709677850046,6.80419355823148,6.35133333206177,10.2851612644811,6.16966665585836,4.73709677111718,5.30000019073486,8.36999988555908,116,18.2000007629395,6.19129034780687,6.69500000136239,10.5912902893559,26.3599999745687,115.664516202865,67.2899997075399,15.3048387958157,6.62000002399568,4.34033332665761,7.71709674404514,12.3113334019979,15.4083871226157,3.85999989509583,NA,35,40.9000015258789,0.014802
