"GNIS_NAME","STREAM_ORD","AREA_HA","major_trib","clearcut_area_ha","percent_cut_since_2000"
"Mabel Creek",4,5344.83226327343,FALSE,2914,0.545199522915491
"Maka Creek",5,21606.9649415073,FALSE,1813,0.0839081289254651
"Manning Creek",4,2136.29368896465,TRUE,197,0.0922157852254272
"Marquart Creek",2,187.534398134332,FALSE,50,0.266617753849002
"Meadow Creek",6,30943.1450867485,FALSE,6887,0.222569489322835
"Melba Creek",4,4055.35089195215,FALSE,918,0.226367588023461
"Mellin Creek",4,5932.93579738741,FALSE,2258,0.380587297269308
"Midday Creek",5,8665.19079809228,FALSE,1599,0.184531424322709
"Mildred Creek",3,1072.58780053644,FALSE,98,0.0913678115218044
"Mine Creek",4,1295.75016079993,FALSE,10,0.00771753714761378
"Moore Creek",5,20427.0217262651,TRUE,3216,0.157438516642143
"Morgan Creek",3,1165.68650318848,FALSE,294,0.252211893331378
"Morrison Creek",3,644.564138474316,FALSE,197,0.305632889329368
"Neal Creek",3,740.431756977531,FALSE,173,0.233647460916847
"Nelly Creek",2,550.06689186621,FALSE,193,0.350866417982747
"Neville Creek",3,675.430994423588,FALSE,2,0.0029610722879349
"Nicola River",8,718379.446558143,TRUE,119977,0.167010624503285
"Nilsson Creek",3,2481.20898442955,FALSE,553,0.222875220696953
"Nuaitch Creek",5,8338.16045634744,TRUE,341,0.0408963106173392
"Oluk Creek",3,704.224079649075,FALSE,125,0.17750032072503
"Papsilqua Creek",4,2502.74743151845,FALSE,225,0.0899012010426834
"Pennask Creek",4,8776.46416153003,FALSE,1674,0.190737405085941
"Peter Hope Creek",4,5818.40900416495,FALSE,550,0.094527558926555
"Petit Creek",2,917.756822833365,TRUE,204,0.222281104236519
"Phelps Creek",3,783.062109813979,FALSE,132,0.168569004100272
"Poison Creek",3,999.267294190646,TRUE,115,0.115084322951993
"Pony Creek",3,857.986331128392,TRUE,15,0.0174827960024405
"Pothole Creek",5,13050.3161532062,FALSE,3500,0.268192736398965
"Prospect Creek",5,22153.6270245867,FALSE,718,0.0324100427981001
"Pye Creek",3,1015.93062408754,FALSE,241,0.237220922655476
"Quenville Creek",4,4064.50467069794,FALSE,1086,0.267191229433011
"Quilchena Creek",6,77953.0859816505,TRUE,14426,0.185060024479284
"Range Creek",5,11970.9048393608,TRUE,3615,0.301982185015266
"Rey Creek",4,6226.7139622642,FALSE,1706,0.273980788316098
"Richardson Creek",4,2268.58084893479,FALSE,352,0.155163083636751
"Ridge Creek",3,1538.70280972486,FALSE,1,0.000649898078875163
"Roberts Creek",3,1512.12623696611,FALSE,201,0.132925409986458
"Rorison Creek",2,377.905416560823,FALSE,22,0.0582156249577311
"Roscoe Creek",4,1472.875807159,FALSE,921,0.625307303931142
"Rusty Creek",3,400.547183625144,FALSE,251,0.626642778332205
"Salem Creek",2,858.566736376619,FALSE,105,0.122296841411686
"Samson Creek",3,1013.38088455992,FALSE,158,0.155913736293353
"Shackelly Creek",3,1921.62451661115,TRUE,387,0.201392101659114
"Shakan Creek",5,9718.15796817333,TRUE,96,0.00987841526289211
"Shouz Creek",3,867.576982226622,FALSE,130,0.149842610699926
"Shuta Creek",4,2991.69980440944,FALSE,495,0.165457777304536
"Skaynaneichst Creek",3,975.986931461285,TRUE,37,0.0379103436811415
"Skeikut Creek",4,2539.74600272768,TRUE,27,0.0106309843468607
"Skuagam Creek",2,561.112880473516,FALSE,27,0.0481186601476962
"Skuhost Creek",5,5674.9588733677,FALSE,2142,0.377447669277798
"Skuhun Creek",6,23200.5166778042,TRUE,6951,0.299605396575067
"Spahomin Creek",5,23604.3250597542,TRUE,3129,0.132560452039148
"Spanish Creek",2,287.702095699699,FALSE,6,0.0208549054375424
